transaction_id,date,month,quarter,is_ramadan_period,product_name,category,sub_category,brand,outlet_name,outlet_type,region,city,distributor_name,qty_sold,sell_in_value,sell_out_value,stock_available
1,2025-11-29,November,4,False,Ceria Sampo,Personal Care,Sampo,Ceria,Minimarket Bekasi 100,Modern Trade,Jawa Barat,Bekasi,PT Distribusi SumateraSelatan 11,11,180149,174458,102
2,2025-01-11,January,1,False,Nuansa Minyak Goreng,Food & Beverage,Minyak Goreng,Nuansa,Toko Magelang 20,General Trade,Jawa Tengah,Magelang,PT Distribusi SumateraUtara 4,33,2036259,1840728,288
3,2025-04-22,April,2,False,Rumahku Teh Celup,Food & Beverage,Teh Celup,Rumahku,Warung Magelang 90,General Trade,Jawa Tengah,Magelang,PT Distribusi Kalimantan 5,95,753758,670358,493
4,2025-02-28,February,1,False,Harmoni Sabun Cuci Piring,Household,Sabun Cuci Piring,Harmoni,Minimarket Binjai 105,General Trade,Sumatera Utara,Binjai,PT Distribusi Kalimantan 3,80,503399,444550,475
5,2025-06-09,June,2,False,Rumahku Minyak Goreng,Food & Beverage,Minyak Goreng,Rumahku,Warung Bogor 87,General Trade,Jawa Barat,Bogor,PT Distribusi JawaBarat 7,102,881855,676805,353
6,2025-11-18,November,4,False,Harmoni Deodoran,Personal Care,Deodoran,Harmoni,Toko Makassar 14,Modern Trade,Sulawesi,Makassar,PT Distribusi JawaTimur 12,78,2919990,2593227,61
7,2025-10-17,October,4,False,Segar Alam Sabun Cuci Piring,Household,Sabun Cuci Piring,Segar Alam,Swalayan Solo 6,General Trade,Jawa Tengah,Solo,PT Distribusi SumateraUtara 6,137,1846747,1666042,35
8,2025-09-17,September,3,False,Harmoni Deterjen,Household,Deterjen,Harmoni,Minimarket Manado 44,General Trade,Sulawesi,Manado,PT Distribusi SumateraSelatan 1,108,2106054,1630662,491
9,2025-07-05,July,3,False,Harmoni Deterjen,Household,Deterjen,Harmoni,Swalayan Binjai 115,Modern Trade,Sumatera Utara,Binjai,PT Distribusi Sulawesi 8,40,1876565,1483446,267
10,2025-11-30,November,4,False,Ceria Lotion,Personal Care,Lotion,Ceria,Warung Banjarmasin 79,Modern Trade,Kalimantan,Banjarmasin,PT Distribusi Jakarta 9,124,1999821,1700212,374
11,2025-10-31,October,4,False,Ceria Lotion,Personal Care,Lotion,Ceria,Toko Makassar 42,Modern Trade,Sulawesi,Makassar,PT Distribusi SumateraUtara 4,23,1219909,1162299,124
12,2025-08-26,August,3,False,Rumahku Minyak Goreng,Food & Beverage,Minyak Goreng,Rumahku,Warung Banjarmasin 79,Modern Trade,Kalimantan,Banjarmasin,PT Distribusi SumateraSelatan 11,98,1460949,1105355,435
