distributor_id,distributor_name,region
1,PT Distribusi SumateraSelatan 1,Sumatera Selatan
2,PT Distribusi SumateraSelatan 2,Sumatera Selatan
3,PT Distribusi Kalimantan 3,Kalimantan
4,PT Distribusi SumateraUtara 4,Sumatera Utara
5,PT Distribusi Kalimantan 5,Kalimantan
6,PT Distribusi SumateraUtara 6,Sumatera Utara
7,PT Distribusi JawaBarat 7,Jawa Barat
8,PT Distribusi Sulawesi 8,Sulawesi
9,PT Distribusi Jakarta 9,Jakarta
10,PT Distribusi Jakarta 10,Jakarta
11,PT Distribusi SumateraSelatan 11,Sumatera Selatan
12,PT Distribusi JawaTimur 12,Jawa Timur
