outlet_id,outlet_name,outlet_type,region,city
1,Minimarket Jakarta Timur 1,General Trade,Jakarta,Jakarta Timur
2,Toko Bandung 2,General Trade,Jawa Barat,Bandung
3,Warung Binjai 3,Modern Trade,Sumatera Utara,Binjai
4,Minimarket Lubuklinggau 4,General Trade,Sumatera Selatan,Lubuklinggau
5,Minimarket Bogor 5,Modern Trade,Jawa Barat,Bogor
6,Swalayan Solo 6,General Trade,Jawa Tengah,Solo
7,Warung Kediri 7,Modern Trade,Jawa Timur,Kediri
8,Warung Surabaya 8,General Trade,Jawa Timur,Surabaya
9,Minimarket Medan 9,General Trade,Sumatera Utara,Medan
10,Swalayan Kediri 10,General Trade,Jawa Timur,Kediri
11,Warung Makassar 11,Modern Trade,Sulawesi,Makassar
12,Warung Kediri 12,General Trade,Jawa Timur,Kediri
13,Minimarket Banjarmasin 13,Modern Trade,Kalimantan,Banjarmasin
14,Toko Makassar 14,Modern Trade,Sulawesi,Makassar
15,Minimarket Magelang 15,General Trade,Jawa Tengah,Magelang
16,Swalayan Bekasi 16,General Trade,Jawa Barat,Bekasi
17,Toko Medan 17,General Trade,Sumatera Utara,Medan
18,Warung Palembang 18,General Trade,Sumatera Selatan,Palembang
19,Toko Solo 19,General Trade,Jawa Tengah,Solo
20,Toko Magelang 20,General Trade,Jawa Tengah,Magelang
21,Warung Surabaya 21,Modern Trade,Jawa Timur,Surabaya
22,Warung Jakarta Timur 22,General Trade,Jakarta,Jakarta Timur
23,Warung Jakarta Pusat 23,General Trade,Jakarta,Jakarta Pusat
24,Minimarket Surabaya 24,Modern Trade,Jawa Timur,Surabaya
25,Swalayan Bogor 25,Modern Trade,Jawa Barat,Bogor
26,Swalayan Semarang 26,Modern Trade,Jawa Tengah,Semarang
27,Minimarket Binjai 27,Modern Trade,Sumatera Utara,Binjai
28,Warung Binjai 28,General Trade,Sumatera Utara,Binjai
29,Minimarket Makassar 29,Modern Trade,Sulawesi,Makassar
30,Toko Bekasi 30,Modern Trade,Jawa Barat,Bekasi
31,Toko Surabaya 31,Modern Trade,Jawa Timur,Surabaya
32,Toko Surabaya 32,General Trade,Jawa Timur,Surabaya
33,Minimarket Bogor 33,General Trade,Jawa Barat,Bogor
34,Minimarket Makassar 34,General Trade,Sulawesi,Makassar
35,Swalayan Malang 35,Modern Trade,Jawa Timur,Malang
36,Swalayan Bandung 36,General Trade,Jawa Barat,Bandung
37,Swalayan Banjarmasin 37,Modern Trade,Kalimantan,Banjarmasin
38,Swalayan Bandung 38,General Trade,Jawa Barat,Bandung
39,Minimarket Bandung 39,Modern Trade,Jawa Barat,Bandung
40,Swalayan Makassar 40,Modern Trade,Sulawesi,Makassar
41,Minimarket Binjai 41,Modern Trade,Sumatera Utara,Binjai
42,Toko Makassar 42,Modern Trade,Sulawesi,Makassar
43,Minimarket Bandung 43,General Trade,Jawa Barat,Bandung
44,Minimarket Manado 44,General Trade,Sulawesi,Manado
