transaction_id,date,product_id,outlet_id,distributor_id,qty_sold,sell_in_value,sell_out_value,stock_available
1,2025-11-29,3,100,11,11,180149,174458,102
2,2025-01-11,20,20,4,33,2036259,1840728,288
3,2025-04-22,15,90,5,95,753758,670358,493
4,2025-02-28,25,105,3,80,503399,444550,475
5,2025-06-09,19,87,7,102,881855,676805,353
6,2025-11-18,8,14,12,78,2919990,2593227,61
7,2025-10-17,26,6,6,137,1846747,1666042,35
8,2025-09-17,21,44,1,108,2106054,1630662,491
9,2025-07-05,21,115,8,40,1876565,1483446,267
10,2025-11-30,9,79,9,124,1999821,1700212,374
11,2025-10-31,9,42,4,23,1219909,1162299,124
12,2025-08-26,19,79,11,98,1460949,1105355,435
13,2025-06-16,6,63,4,91,1133608,938942,450
14,2025-11-02,23,113,5,143,92576,80432,97
15,2025-02-13,8,93,7,126,2378577,2198703,353
16,2025-09-01,21,92,8,115,122323,94360,113
17,2025-07-27,23,32,5,149,1597783,1372255,271
18,2025-06-26,14,96,9,85,1525600,1390823,138
19,2025-06-06,9,30,2,50,1373504,1067896,274
20,2025-12-20,6,25,4,124,1209723,1108898,500
21,2025-09-26,20,37,2,50,1292547,1037037,91
22,2025-06-04,1,91,9,33,1200545,912976,27
23,2025-10-11,10,90,3,126,480283,456617,293
24,2025-05-26,16,62,8,88,823277,800278,129
25,2025-09-02,4,106,2,103,2112534,1620395,322
26,2025-12-18,2,20,3,145,1324378,1019230,127
27,2025-03-02,18,98,7,81,3138559,2628502,465
28,2025-08-15,10,111,10,110,1330857,1172198,30
29,2025-11-09,24,13,4,55,1160006,1046207,80
30,2025-05-03,6,71,2,41,61222,51668,352
31,2025-11-01,16,38,1,60,1258399,1148414,359
32,2025-08-21,3,88,4,68,2671683,2366180,411
33,2025-04-12,14,15,9,58,2766376,2169578,136
34,2025-03-14,3,8,3,110,3564113,3287039,291
35,2025-05-28,15,16,8,78,2984895,2515003,139
36,2025-09-14,18,64,8,21,2558347,1942215,221
37,2025-06-15,20,33,1,24,1010178,981124,428
38,2025-10-22,19,3,11,69,2466955,1873043,387
39,2025-03-31,16,67,11,114,1216673,963291,299
40,2025-08-12,21,105,8,24,2021366,1677796,170
41,2025-06-14,22,14,3,85,1776564,1615864,147
42,2025-12-06,13,105,9,10,1957678,1507908,129
43,2025-06-15,4,99,7,132,54827,49413,277
44,2025-08-25,14,7,4,133,1567412,1400021,255
45,2025-11-17,15,98,1,53,1170115,1025395,474
46,2025-05-28,15,113,12,125,559297,423186,322
47,2025-11-08,26,31,12,41,1353380,1186498,282
48,2025-07-28,3,29,2,119,542688,487861,78
49,2025-09-13,23,38,9,70,1792692,1688691,241
50,2025-05-05,15,71,3,99,849477,817222,260
51,2025-03-11,28,9,5,149,2065755,1993199,259
52,2025-05-17,27,1,5,77,2511795,2218875,337
53,2025-09-08,28,20,8,138,2081475,1726330,282
54,2025-10-06,13,59,6,49,2975520,2395071,196
55,2025-04-30,28,100,7,12,1384528,1275540,361
56,2025-07-15,13,85,11,39,2127558,2067794,64
57,2025-09-15,19,43,2,113,468221,407805,233
58,2025-01-08,24,19,7,40,363852,312178,496
59,2025-05-16,11,80,12,102,2775612,2132981,168
60,2025-12-12,28,69,7,82,2678986,2452089,388
61,2025-09-07,28,70,1,18,1034697,926226,471
62,2025-05-28,8,96,2,112,462900,428129,360
63,2025-02-21,15,22,12,77,171413,130372,407
64,2025-01-29,10,46,6,111,660563,532523,210
65,2025-10-17,22,102,3,44,784294,602465,445
66,2025-07-15,20,88,4,128,2495938,1954112,236
67,2025-11-23,9,59,5,3,2001413,1915908,346
68,2025-10-07,6,10,8,89,2514454,2058848,492
69,2025-08-06,23,33,8,78,885576,867736,436
70,2025-09-05,4,31,7,147,1555583,1372345,358
71,2025-06-01,1,107,11,102,1201254,903177,442
72,2025-12-18,25,96,1,128,1250385,1160882,117
73,2025-11-07,26,46,4,49,2654206,2143653,386
74,2025-12-04,22,108,3,25,2681750,2409977,158
75,2025-08-14,2,75,6,34,428046,410587,167
76,2025-08-01,6,26,3,139,1584517,1381851,467
77,2025-05-20,27,22,5,124,1287912,1187079,173
78,2025-02-28,15,10,3,58,2886707,2645868,203
79,2025-10-13,12,12,7,4,1159219,1012475,232
80,2025-07-08,22,96,11,68,2501822,2095615,326
81,2025-07-10,4,87,4,121,154960,138301,482
82,2025-10-15,11,118,10,57,2766450,2115061,421
83,2025-08-26,23,39,11,105,539374,421870,484
84,2025-01-20,10,64,2,25,1034822,987292,69
85,2025-07-18,15,48,11,139,1807945,1600190,372
86,2025-03-21,14,84,2,176,3685124,3109753,487
87,2025-05-24,2,89,6,56,1909683,1627584,120
88,2025-07-05,4,88,6,140,2754599,2293189,203
89,2025-05-22,7,16,8,24,2829853,2260442,327
90,2025-11-02,1,7,6,63,578163,538272,105
91,2025-02-05,27,98,9,54,2509468,2006743,445
92,2025-04-30,11,100,3,1,1212974,1149212,74
93,2025-03-08,18,33,3,40,3951746,3751325,67
94,2025-01-08,12,102,4,83,116190,91799,26
95,2025-03-06,24,54,9,42,443213,380957,398
96,2025-07-05,17,76,2,116,2163252,1732670,314
97,2025-01-23,24,101,11,134,1315129,1124895,493
98,2025-01-16,2,62,7,110,2927701,2268474,364
99,2025-08-16,3,116,2,83,2601384,2039788,64
100,2025-05-21,20,82,10,141,1413926,1184315,305
101,2025-09-29,10,59,9,111,465984,434489,58
102,2025-12-02,21,113,9,56,1853844,1582918,116
103,2025-07-31,11,106,8,103,1794787,1647275,160
104,2025-08-07,11,86,5,96,690214,626692,242
105,2025-02-04,3,107,2,24,1861421,1437407,378
106,2025-07-10,26,17,9,16,2509812,2434577,287
107,2025-06-18,22,16,7,91,2840640,2745364,216
108,2025-01-27,10,77,5,91,484532,427803,108
109,2025-03-21,22,62,4,39,2125877,2007754,188
110,2025-02-28,25,36,10,58,1849827,1746950,498
111,2025-11-15,20,87,11,143,160116,142514,336
112,2025-12-22,9,4,3,70,2997332,2773593,471
113,2025-06-23,12,1,3,37,2425322,2185674,35
114,2025-03-14,24,82,1,33,3185007,2546351,214
115,2025-08-21,11,21,6,80,1410560,1309947,290
116,2025-11-02,3,114,1,40,710224,655906,25
117,2025-12-12,3,35,8,109,2087012,1856663,212
118,2025-05-20,7,97,9,30,1497759,1271417,145
119,2025-12-14,22,76,8,135,2848156,2338155,112
120,2025-07-22,20,8,1,53,1314244,1271431,392
121,2025-03-12,25,33,5,117,774550,582289,382
122,2025-08-09,6,17,7,137,1015154,878169,426
123,2025-12-09,26,46,2,102,227428,193388,235
124,2025-02-09,28,41,10,110,2455012,2069617,327
125,2025-08-02,10,15,7,6,1412176,1114956,485
126,2025-11-13,15,107,12,93,419643,356882,54
127,2025-05-05,14,76,7,135,379869,319479,158
128,2025-06-23,8,43,3,20,2191122,1962460,271
129,2025-09-19,7,116,6,90,2757184,2584745,120
130,2025-02-22,5,33,4,45,2576644,2023077,388
131,2025-12-02,3,23,11,127,1995960,1843314,389
132,2025-10-24,15,88,10,83,2680740,2205476,225
133,2025-02-04,16,57,11,78,1202064,1065060,180
134,2025-09-17,3,40,8,116,207736,158520,425
135,2025-05-27,3,83,2,130,1662636,1423920,283
136,2025-01-22,15,117,10,49,1398580,1243549,256
137,2025-03-19,2,58,2,123,565182,489473,88
138,2025-01-21,8,91,8,113,2248102,1956370,81
139,2025-07-06,12,118,5,100,1764503,1637682,347
140,2025-11-03,2,102,11,86,326454,269595,285
141,2025-12-14,13,37,5,39,1448221,1113313,339
142,2025-03-14,12,40,11,141,827206,733615,480
143,2025-02-13,10,72,7,85,586005,529822,424
144,2025-12-17,17,12,11,109,2182755,1818716,185
145,2025-06-08,6,28,6,125,855328,686062,70
146,2025-03-21,3,38,2,182,3239546,3051903,452
147,2025-09-27,2,85,6,34,2555033,2137657,83
148,2025-04-03,27,89,10,43,1885735,1433251,186
149,2025-12-13,24,31,8,73,1932940,1553737,122
150,2025-06-08,26,101,8,50,1592836,1443126,292
151,2025-08-14,15,99,5,98,2159343,1881469,494
152,2025-03-24,27,26,10,50,1538024,1171976,246
153,2025-07-10,18,120,2,133,572936,467266,390
154,2025-03-24,9,58,9,53,2638848,2034800,466
155,2025-04-24,27,58,6,7,1790203,1364580,257
156,2025-07-11,8,50,2,96,991783,750267,476
157,2025-02-20,27,92,11,86,662575,517900,146
158,2025-08-30,23,107,3,121,1931570,1722052,463
159,2025-02-10,1,33,4,39,2351851,2272480,311
160,2025-09-28,14,15,5,61,1313119,1021639,122
161,2025-08-03,21,102,10,118,313432,243065,463
162,2025-09-13,20,69,1,132,2461923,1983437,73
163,2025-05-30,14,1,10,91,1058999,933245,95
164,2025-12-07,22,11,9,93,333867,323611,278
165,2025-09-17,26,65,9,6,1687681,1604758,22
166,2025-11-22,13,48,5,5,1547760,1441521,176
167,2025-05-04,24,85,11,27,2490679,2289165,170
168,2025-03-10,2,46,9,121,3844511,3038203,398
169,2025-12-17,15,90,8,47,615612,470643,397
170,2025-08-23,2,38,4,12,886637,845613,161
171,2025-06-08,17,51,9,122,1112474,843725,331
172,2025-04-08,10,46,1,85,1195953,931203,188
173,2025-08-12,13,96,8,99,1472022,1433685,254
174,2025-12-21,16,48,9,69,396497,363678,40
175,2025-08-09,20,106,3,140,1282145,1056331,40
176,2025-06-17,22,38,5,115,2577578,2358644,85
177,2025-12-20,15,45,8,11,1528740,1362743,222
178,2025-05-21,21,102,1,20,2865149,2568972,186
179,2025-09-20,26,96,11,41,180613,141390,311
180,2025-12-14,26,57,1,33,331997,267018,330
181,2025-07-07,12,50,10,9,2587951,2032294,230
182,2025-07-09,12,57,2,147,627535,547069,203
183,2025-06-10,21,36,4,30,158688,145866,255
184,2025-09-23,13,117,9,31,1147970,1065593,360
185,2025-08-17,7,79,5,126,889608,692298,436
186,2025-02-07,15,23,12,114,418221,391629,495
187,2025-06-13,22,45,12,17,2356855,2061539,456
188,2025-06-03,28,21,12,45,1566208,1357923,62
189,2025-04-13,26,18,4,127,160243,133483,293
190,2025-07-08,15,103,9,34,2616697,2494697,33
191,2025-06-08,13,92,12,123,2254927,1904247,209
192,2025-10-22,3,17,6,19,1937329,1660565,264
193,2025-06-26,5,113,9,47,591203,502228,466
194,2025-01-29,27,16,9,40,1325590,1044394,165
195,2025-12-30,8,45,9,73,380762,307518,325
196,2025-10-10,9,17,11,78,2627098,2292668,257
197,2025-11-25,6,76,10,40,768067,692418,368
198,2025-11-06,11,108,10,11,169007,129912,485
199,2025-11-25,25,74,5,54,2449717,2072007,327
200,2025-01-16,16,114,11,140,1264970,1135485,154
201,2025-09-05,8,104,11,104,1297528,1108497,352
202,2025-01-31,6,57,7,124,1998011,1592265,310
203,2025-03-15,11,111,12,114,2098024,2044180,66
204,2025-07-09,17,72,2,82,1063922,912088,136
205,2025-08-19,8,19,2,13,1267237,1225973,442
206,2025-11-12,14,32,3,84,2472995,2264916,97
207,2025-03-23,16,66,8,179,1881756,1626580,46
208,2025-07-21,17,59,4,56,2496722,2075190,25
209,2025-05-25,16,77,11,121,1248515,1090501,433
210,2025-02-25,14,18,5,94,1741370,1452590,205
211,2025-01-27,19,72,4,93,2370385,1935131,197
212,2025-09-16,15,98,9,72,2664064,2414951,60
213,2025-03-07,4,51,6,121,3345602,3231711,386
214,2025-03-15,7,78,9,144,3006469,2282687,19
215,2025-03-12,23,43,8,186,2753447,2159408,457
216,2025-09-21,5,42,10,82,731582,614806,315
217,2025-06-03,19,44,9,131,2282795,1969286,288
218,2025-06-03,16,105,1,95,1439319,1302548,213
219,2025-10-26,10,102,12,7,2553620,2193957,495
220,2025-12-02,26,100,10,148,1004385,919938,298
221,2025-09-03,6,68,11,98,669816,628945,124
222,2025-01-17,19,90,2,49,129429,110200,214
223,2025-03-19,14,89,4,148,3016696,2800228,471
224,2025-08-30,28,109,12,16,629159,546926,287
225,2025-06-16,22,62,9,97,1365973,1325045,235
226,2025-09-30,11,70,6,68,2608846,2247159,490
227,2025-05-07,9,72,5,58,1298285,1203990,360
228,2025-04-17,23,91,8,82,2062441,1712289,478
229,2025-05-21,10,16,10,140,1642552,1570320,202
230,2025-06-26,25,103,3,75,226439,184809,365
231,2025-02-10,12,119,8,66,2059404,1645910,423
232,2025-10-03,9,120,9,70,625764,485043,379
233,2025-10-28,8,32,1,136,996535,893620,26
234,2025-02-21,14,43,12,121,471715,427691,70
235,2025-01-03,18,119,3,105,2788430,2690994,449
236,2025-09-01,16,84,4,74,1397074,1139517,30
237,2025-02-15,21,74,4,137,206440,198191,89
238,2025-08-02,27,23,1,102,2127790,1687021,383
239,2025-05-29,2,2,5,146,2578255,1997320,171
240,2025-05-26,15,83,9,135,2121618,2025147,68
241,2025-09-16,15,35,4,29,1436989,1131447,234
242,2025-11-28,9,92,3,4,1463950,1364220,290
243,2025-12-12,25,25,3,104,1843917,1601468,44
244,2025-07-25,22,13,3,36,2052587,1692210,127
245,2025-01-04,9,50,4,115,1169855,1134090,154
246,2025-10-26,24,74,1,67,2791746,2324678,120
247,2025-02-01,22,16,8,79,719900,607052,257
248,2025-12-27,25,40,12,31,2728949,2621728,151
249,2025-07-08,20,29,4,35,2055640,1614155,382
250,2025-11-07,12,54,12,141,2024796,1871297,410
251,2025-12-07,27,28,4,21,2254134,1922217,360
252,2025-07-05,3,118,10,29,309032,290681,462
253,2025-09-16,7,74,9,39,740118,610943,266
254,2025-08-15,4,88,4,150,2100293,1619150,261
255,2025-08-17,26,8,8,34,2202717,1862502,288
256,2025-01-30,18,60,11,79,141311,118852,418
257,2025-01-02,24,28,10,19,239959,203353,358
258,2025-02-02,18,8,2,121,183105,149419,92
259,2025-03-11,25,83,12,151,2268842,2219737,195
260,2025-08-18,28,118,7,97,386592,350649,338
261,2025-10-04,5,84,6,31,798572,781286,201
262,2025-09-28,5,94,4,1,145358,141731,237
263,2025-12-11,24,70,7,137,1640800,1541323,126
264,2025-08-24,12,20,5,49,523304,396355,338
265,2025-08-03,20,99,1,62,914368,699927,304
266,2025-01-18,15,77,11,13,1076489,990719,205
267,2025-08-13,8,70,4,15,637771,552243,148
268,2025-04-30,27,118,12,148,1387579,1224981,395
269,2025-12-11,27,42,4,78,650877,635718,266
270,2025-04-24,14,39,5,16,2385045,2309104,450
271,2025-03-31,21,87,7,143,2128784,1619543,176
272,2025-11-26,22,49,9,82,2970529,2512338,76
273,2025-06-03,13,24,9,122,1060693,1002724,153
274,2025-12-29,5,104,8,15,2408817,2035247,213
275,2025-10-13,17,18,7,63,1119529,892004,331
276,2025-02-10,15,109,6,24,2296618,2105205,97
277,2025-01-27,9,49,11,11,355279,281834,389
278,2025-10-28,24,86,9,56,2060725,1644550,464
279,2025-06-20,10,117,1,55,847017,822688,60
280,2025-09-03,8,90,10,53,1713595,1645872,282
281,2025-06-14,25,37,7,120,2288290,2057643,157
282,2025-05-14,12,66,8,120,463592,433295,369
283,2025-08-29,25,108,6,53,1604849,1319141,23
284,2025-10-16,28,29,12,38,118031,95602,478
285,2025-10-27,19,93,7,76,689259,548046,117
286,2025-07-14,19,107,4,128,2359562,2124926,350
287,2025-06-22,9,98,8,126,1982856,1563866,407
288,2025-06-30,6,18,12,140,2098147,1662426,455
289,2025-10-05,21,8,9,9,361764,349968,342
290,2025-01-25,25,1,7,36,2695354,2164988,362
291,2025-03-19,1,28,9,163,2261443,1727524,326
292,2025-12-08,20,117,8,125,115983,87163,282
293,2025-07-30,1,3,9,71,2297048,2239208,8
294,2025-09-15,27,90,11,111,801899,621162,49
295,2025-09-26,5,31,4,135,1108718,1039422,136
296,2025-07-23,3,48,7,118,2419790,1950200,356
297,2025-04-26,10,88,2,9,442169,372843,193
298,2025-10-10,16,8,11,3,2997946,2366633,255
299,2025-08-11,21,101,6,145,449976,430087,470
300,2025-01-22,8,28,12,146,2044392,1660765,473
301,2025-02-08,22,119,5,140,2413531,2175472,91
302,2025-06-11,1,27,10,37,1720574,1658016,153
303,2025-03-25,19,31,10,140,4045565,3868373,169
304,2025-07-16,25,95,3,21,2150477,1981567,177
305,2025-01-28,4,56,4,20,1478549,1314709,314
306,2025-11-01,13,100,6,8,2709704,2202624,230
307,2025-09-09,8,46,9,97,1861301,1475489,299
308,2025-12-05,13,11,10,76,1083685,990504,42
309,2025-05-18,5,49,12,40,1684193,1385814,54
310,2025-02-16,1,40,8,93,1181482,913891,44
311,2025-04-06,14,58,9,143,2199332,1855906,13
312,2025-02-15,12,71,2,84,1665804,1254081,211
313,2025-07-18,25,11,12,144,1068135,941615,86
314,2025-12-17,13,22,3,69,1313036,1065835,74
315,2025-02-02,6,56,5,108,1307252,1126031,39
316,2025-07-04,9,32,12,127,2540604,2265796,234
317,2025-02-24,5,39,1,102,1443419,1361968,194
318,2025-06-18,15,43,7,35,1310116,1079211,485
319,2025-12-22,7,62,6,46,1720337,1673555,149
320,2025-12-22,21,63,10,63,1416865,1185197,418
321,2025-07-21,12,15,10,52,2533980,2481706,92
322,2025-12-16,25,71,1,119,929329,790714,149
323,2025-12-21,3,105,7,128,633759,567637,123
324,2025-05-10,22,20,12,109,1631214,1251160,306
325,2025-09-03,19,52,9,130,2951237,2497363,18
326,2025-07-04,23,115,9,22,508728,471519,336
327,2025-12-07,12,22,11,12,2412317,2354975,346
328,2025-11-28,13,97,6,111,494363,371971,132
329,2025-04-24,17,96,9,143,2484870,2256666,113
330,2025-08-17,12,51,8,129,682270,565835,12
331,2025-09-05,4,38,7,22,536830,505266,373
332,2025-03-14,12,40,6,163,1284729,1117529,178
333,2025-09-01,4,57,12,116,1387603,1062140,22
334,2025-12-30,4,3,6,28,2890128,2699412,476
335,2025-05-05,17,23,9,41,1438271,1263902,490
336,2025-08-25,8,103,7,48,831763,746349,221
337,2025-07-22,1,95,10,51,1935654,1715389,199
338,2025-01-03,23,28,4,72,312411,275793,409
339,2025-10-02,6,47,6,51,1969105,1528438,343
340,2025-09-08,17,82,6,100,2614013,2196516,58
341,2025-06-28,12,109,8,45,2875236,2623300,152
342,2025-11-11,19,11,11,35,1363596,1059661,156
343,2025-03-01,6,48,12,51,3069575,2576437,305
344,2025-03-12,19,50,7,67,2927738,2623737,355
345,2025-11-27,6,72,3,126,1261460,986800,161
346,2025-08-19,20,7,6,3,2082597,1627347,417
347,2025-07-16,18,65,11,127,1766033,1602640,212
